auction_id,titulo,cat,pais,retail,piezas,puja_actual,recuperacion,ingreso_esperado,puja_max,margen_para_pujar,sell_through,rotacion_d,calidad,match
50897,"4 Pallets of Toys & Sporting Goods, 720 Pieces",Toys & Sporting Goods,PL,23280.0,720.0,2470.0,22.16630689537044,5160.316245242238,433.33,-2036.67,54.54545454545454,364.0,datos,Toys(aprox)
50865,"Small Truckload of PC Goods, Home Entertainmen","PC Goods, Home Entertainment",ES,49451.0,436.0,2325.0,9.666827944987196,4780.343087075618,789.22,-1535.78,25.0,270.0,datos,Home Entertainment(exacta)
51608,"4 Pallets of Toys, Sporting Goods & More, 659 ","Toys, Sporting Goods",PL,25455.0,659.0,1025.0,34.69615938509006,8831.907371474676,1361.51,336.51,52.27272727272727,272.5,datos,Toys(exacta); Exercise & Fitness(alias)
51609,"4 Pallets of Sporting Goods, Toys & More, 619 ","Sporting Goods, Toys",PL,22312.0,619.0,825.0,34.69615938509006,7741.407082001295,1085.83,260.8299999999999,52.27272727272727,272.5,datos,Exercise & Fitness(alias); Toys(exacta)
51614,"UNMANIFESTED Truckload of Mixed Categories, Cu",None,IT,,,247.0,24.031715526945305,,,,,,global,(global)
51617,"UNMANIFESTED Truckload of Mixed Categories, Cu",None,IT,,,247.0,24.031715526945305,,,,,,global,(global)
51618,"UNMANIFESTED Truckload of Mixed Categories, Cu",None,IT,,,247.0,24.031715526945305,,,,,,global,(global)
51495,Small Truckload of Massage & Relaxation Applia,"Massage & Relaxation Appliances, H",PL,49086.0,624.0,6213.0,27.9276335895549,13708.55822376892,3046.27,-3166.73,71.32809118453325,431.0,datos,Massage & Relaxation Appliances(exacta); Hair Care Appliances(exacta)
51483,"4 Pallets of Musical Instruments, Sporting Goo","Musical Instruments, Sporting Good",IT,28003.0,530.0,1924.0,45.374473432373385,12706.213795267518,2486.13,562.1300000000001,64.29577464788731,249.0,datos,Musical Instruments(depto); Exercise & Fitness(alias)
50874,"Small Truckload of Laundry, Refrigeration & Mo","Laundry, Refrigeration",IT,23567.0,237.0,1225.0,30.040713743859886,7079.695008015459,1370.5,145.5,75.0,435.0,datos,Laundry(exacta); Refrigeration(exacta)
50901,"4 Pallets of Personal Care, Beauty & More, 1,1","Personal Care, Beauty",DE,32138.0,1151.0,3675.0,15.530823298816607,4991.295991773681,497.08,-3177.92,41.151685393258425,431.0,datos,Shaving & Hair Removal Appliances(alias); Beauty(depto)
51431,"Small Truckload of Robotic Vacuums, Brush & El","Robotic Vacuums, Brush & Electric ",DE,109046.0,290.0,7225.0,24.031715526945305,26205.624513512776,6205.53,-1019.4700000000003,,,global,(global)
50875,"UNMANIFESTED Truckload of Mixed Categories, Cu",None,IT,,,4100.0,24.031715526945305,,,,,,global,(global)
51463,"4 Pallets of PC Goods, Electronics & More, 755","PC Goods, Electronics",ES,39842.0,755.0,3525.0,19.17978047942661,7641.608138613151,1931.8,-1593.2,52.90697674418605,281.0,datos,Electronics(depto)
51550,"Small Truckload of Prams, Strollers, Carriers,","Prams, Strollers, Carriers, Car Se",ES,27108.0,464.0,4025.0,42.96709751500358,11647.52079436717,2525.24,-1499.7600000000002,72.05598455598455,115.75,datos,"Prams, Strollers, Carriers(aprox); Prams, Strollers, Carriers(aprox); Prams, Strollers, Carriers(aprox); Car Seats & Accessories(exacta)"
51433,"4 Pallets of Cycling, Snow & More, 566 Pieces,","Cycling, Snow",DE,26080.0,566.0,4825.0,40.452531429744745,10550.02019687743,1902.33,-2922.67,42.857142857142854,204.75,datos,Cycling(exacta); Snow(exacta)
50906,"4 Pallets of Home Improvement, Auto Goods & Mo","Home Improvement, Auto Goods",UK,,755.0,,19.10405129047176,,,,47.873179224038154,371.0,datos,Home Improvement(depto); Spare & Repair Parts Car & Truck(alias)
51510,"Truckload of Garden & Landscaping Tools, Plumb","Garden & Landscaping Tools, Plumbi",PL,56257.0,583.0,4100.0,26.284482304097583,14786.861209816178,3122.35,-977.6500000000001,68.31056793673615,334.0,datos,Garden & Landscaping Tools(exacta); Plumbing and Bath(exacta)
51632,"Truckload of Home Improvement, Auto Goods & Mo","Home Improvement, Auto Goods",ES,57345.0,530.0,100.0,19.10405129047176,10955.218212521031,2153.72,2053.72,47.873179224038154,371.0,datos,Home Improvement(depto); Spare & Repair Parts Car & Truck(alias)
